"ind_id","Sex","Ethnicity","question","response","domain2","age"
262055253,"Male","bayaka","hh_head","Me","household_head","b"
262055034,"Female","bandongo","hh_head","Me","household_head","b"
262055231,"Female","bayaka","hh_head","Partner","household_head","a"
262055213,"Female","bayaka","hh_head","Partner","household_head","a"
262055283,"Female","bayaka","hh_head","Partner","household_head","b"
262055260,"Female","bayaka","hh_head","Together","household_head","d"
262091545,"Female","bandongo","hh_head","Together","household_head","b"
262055174,"Female","bayaka","hh_head","Me","household_head","d"
262055247,"Female","bayaka","hh_head","Partner","household_head","b"
262055170,"Male","bayaka","hh_head","Me","household_head","d"
262055280,"Female","bayaka","hh_head","Partner","household_head","c"
262055084,"Female","bandongo","hh_head","Partner","household_head","a"
262055187,"Female","bayaka","hh_head","Others","household_head","c"
262054992,"Female","bandongo","hh_head","Partner","household_head","a"
262054988,"Female","bandongo","hh_head","Others","household_head","a"
262055208,"Male","bayaka","hh_head","Me","household_head","b"
262055030,"Female","bandongo","hh_head","Partner","household_head","a"
262091598,"Female","bandongo","hh_head","Me","household_head","b"
262055035,"Female","bandongo","hh_head","Me","household_head","b"
262055203,"Female","bayaka","hh_head","Partner","household_head","b"
262055006,"Female","bandongo","hh_head","Partner","household_head","a"
262091585,"Female","bandongo","hh_head","Partner","household_head","b"
262091636,"Female","bandongo","hh_head","Partner","household_head","b"
262055081,"Female","bandongo","hh_head","Partner","household_head","b"
262055210,"Male","bayaka","hh_head","Others","household_head","a"
262055192,"Female","bayaka","hh_head","Others","household_head","b"
262055211,"Female","bayaka","hh_head","Others","household_head","a"
262091711,"Female","bandongo","hh_head","Me","household_head","b"
262055066,"Female","bandongo","hh_head","Partner","household_head","d"
262091702,"Female","bandongo","hh_head","Me","household_head","b"
262055165,"Male","bayaka","hh_head","Partner","household_head","d"
262055212,"Male","bayaka","hh_head","Others","household_head","b"
262055267,"Female","bayaka","hh_head","Partner","household_head","a"
262055177,"Male","bayaka","hh_head","Me","household_head","b"
262055236,"Female","bayaka","hh_head","Me","household_head","c"
262055242,"Female","bayaka","hh_head","Others","household_head","a"
262091525,"Female","bandongo","hh_head","Others","household_head","a"
262055189,"Female","bayaka","hh_head","Others","household_head","b"
262055263,"Female","bayaka","hh_head","Me","household_head","c"
262055201,"Female","bayaka","hh_head","Me","household_head","a"
262055209,"Female","bayaka","hh_head","Partner","household_head","c"
262054995,"Female","bandongo","hh_head","Partner","household_head","a"
262055250,"Female","bayaka","hh_head","Partner","household_head","b"
262055188,"Female","bayaka","hh_head","Me","household_head","c"
262055197,"Female","bayaka","hh_head","Partner","household_head","b"
262055058,"Female","bandongo","hh_head","Others","household_head","c"
262055061,"Female","bandongo","hh_head","Others","household_head","a"
262055064,"Female","bandongo","hh_head","Partner","household_head","b"
262055083,"Female","bandongo","hh_head","Me","household_head","d"
262055001,"Female","bandongo","hh_head","Partner","household_head","a"
262055085,"Female","bandongo","hh_head","Me","household_head","a"
262055225,"Male","bayaka","hh_head","Me","household_head","c"
262055222,"Male","bayaka","hh_head","Others","household_head","a"
262055200,"Female","bayaka","hh_head","Together","household_head","a"
262055228,"Female","bayaka","hh_head","Partner","household_head","b"
262055207,"Female","bayaka","hh_head","Partner","household_head","c"
262055162,"Male","bayaka","hh_head","Partner","household_head","a"
262055023,"Female","bandongo","hh_head","Others","household_head","b"
262055218,"Male","bayaka","hh_head","Me","household_head","b"
262055020,"Female","bandongo","hh_head","Me","household_head","b"
262055233,"Female","bayaka","hh_head","Me","household_head","b"
262055276,"Female","bayaka","hh_head","Partner","household_head","d"
262055180,"Female","bayaka","hh_head","Me","household_head","c"
262091684,"Female","bandongo","hh_head","Partner","household_head","b"
262055014,"Female","bandongo","hh_head","Partner","household_head","c"
262055027,"Female","bandongo","hh_head","Me","household_head","b"
262055199,"Male","bayaka","hh_head","Partner","household_head","a"
262055198,"Male","bayaka","hh_head","Partner","household_head","a"
262055171,"Female","bayaka","hh_head","Partner","household_head","c"
262055215,"Female","bayaka","hh_head","Partner","household_head","d"
262055195,"Male","bayaka","hh_head","Others","household_head","a"
262055010,"Female","bandongo","hh_head","Me","household_head","b"
262055194,"Male","bayaka","hh_head","Others","household_head","a"
262055026,"Female","bandongo","hh_head","Partner","household_head","a"
262055186,"Female","bayaka","hh_head","Others","household_head","a"
262055270,"Female","bayaka","hh_head","Partner","household_head","c"
262055206,"Male","bayaka","hh_head","Me","household_head","d"
262091728,"Female","bandongo","hh_head","Partner","household_head","a"
262055036,"Female","bandongo","hh_head","Partner","household_head","b"
262055196,"Male","bayaka","hh_head","Me","household_head","b"
262054981,"Female","bandongo","hh_head","Partner","household_head","d"
